imdb_id,collection_id
tt10373344,517
tt10403420,1442
tt10431332,843
tt10489208,309
tt10648342,1727
tt10665342,624
tt10698680,767
tt10701074,1153
tt10811166,1797
tt11128440,306
tt11207270,1228
tt11245972,1269
tt11423818,1304
tt11564570,810
tt11609174,1842
tt11703710,427
tt11755740,1447
tt11806132,358
tt11851548,1092
tt11853944,1525
tt11866324,1158
tt11873440,662
tt11909878,672
tt11947158,1820
tt12036922,1777
tt12292314,1042
tt12412888,1336
tt12610794,26
tt12735282,1656
tt12747222,379
tt12764628,732
tt12996154,22
tt13022984,790
tt13026738,231
tt13070038,61
tt13245502,352
tt13259610,1635
tt13332268,1614
tt13350858,179
tt13560574,1873
tt13580706,789
tt13586548,1184
tt13634480,703
tt13645322,548
tt13664684,784
tt13721828,1714
tt13822738,1076
tt13874422,1677
tt13926132,466
tt14109994,1369
tt14121726,741
tt14145426,186
tt14194876,298
tt14200420,614
tt14279982,616
tt14301252,1897
tt14396096,1913
tt14465706,882
tt14565166,1143
tt14577304,525
tt14592998,1652
tt14614892,430
tt14636190,120
tt14641788,469
tt14668196,1157
tt14813966,905
tt14941698,1455
tt15078854,171
tt15141144,330
tt15311262,1332
tt15397918,1738
tt15422240,470
tt15432804,484
tt15458866,1819
tt15501640,437
tt15690636,614
tt15701872,212
tt15838850,1634
tt15847828,407
tt15850452,778
tt15943258,340
tt1596342,468
tt16085592,1424
tt16113114,1748
tt16158856,1511
tt16183464,1083
tt16194408,1469
tt1630029,150
tt1649418,1560
tt16529002,769
tt16532314,210
tt16760592,292
tt16915972,1262
tt17081112,232
tt17220704,33
tt17274522,1304
tt17321026,1282
tt1745960,1750
tt17491040,1642
tt17523850,154
tt18250460,1434
tt18361658,46
tt18671386,546
tt18671660,546
tt18753152,324
tt1877830,1468
tt18925334,1873
tt19072084,305
tt19121744,552
tt19224780,910
tt19757204,1039
tt19759204,1202
tt19763032,993
tt19770970,395
tt19783642,668
tt20168564,76
tt20222422,1444
tt20726444,1751
tt20752126,1936
tt20782072,502
tt21094994,1187
tt21106646,22
tt21109538,59
tt21114402,1176
tt21114474,159
tt21149558,1091
tt21222434,1328
tt21293676,1268
tt21435436,398
tt21435448,1668
tt21477618,989
tt21608894,551
tt21619378,280
tt21622428,552
tt21651560,1802
tt21836576,466
tt21836592,466
tt21867370,323
tt22309256,496
tt22352776,472
tt22394694,398
tt23114968,1479
tt23854314,1444
tt3915174,1180
tt4123432,491
tt5113044,966
tt6277462,239
tt6455162,201
tt7286440,297
tt7657566,661
tt8041270,763
tt8101238,691
tt9114286,214
tt9179430,878
tt9288046,1664
tt9419884,419
tt9669176,55
tt9719256,1475
tt9848626,684
tt10442096,1467
tt12472174,1338
tt15019036,560
tt15710822,1596
tt15830702,1410
tt16047734,431
tt18274606,1133
tt23596610,237
tt11654032,232
tt12015668,1418
tt13212270,1932
tt14821640,1847
tt8332922,43
tt8615822,1068
tt12921446,1532
tt10151854,1291
tt10855768,1272
tt10954600,113
tt11145118,337
tt11210390,138
tt13539646,1835
tt15837716,1371
tt16280138,907
tt16565742,1923
tt17663992,1269
tt20100884,560
tt21100570,24
tt22394702,398
tt23472308,1021
tt26369131,1360
tt20424172,72
tt0293429,988
tt0870154,761
tt0993840,129
tt10327252,1650
tt10370822,394
tt10423286,1381
tt10448662,1096
tt10451312,391
tt10515988,1109
tt10556674,9
tt10569922,253
tt10605812,40
tt10635042,1162
tt10665338,624
tt10676012,1741
tt10766468,572
tt10772654,1419
tt10838180,1611
tt10840042,136
tt10872600,1351
tt10975604,40
tt11012066,674
tt11084896,1355
tt11125620,1453
tt11207240,1228
tt11541220,656
tt11560730,1856
tt1160419,444
tt11641654,552
tt11674072,980
tt11792512,944
tt11809034,1237
tt11827282,1778
tt11832046,1113
tt11866370,124
tt11905960,1212
tt11944928,231
tt11951334,476
tt11991748,1237
tt12079822,9
tt12093860,395
tt12240332,9
tt12361178,437
tt12619898,9
tt12622516,1633
tt12740648,690
tt12783454,1591
tt12856188,274
tt12974250,1748
tt12982370,1222
tt13017168,773
tt13017204,1536
tt13020856,523
tt13024674,129
tt13069986,61
tt13162484,861
tt13196156,96
tt13197764,499
tt13243448,1122
tt13269670,1039
tt13346994,1403
tt13387604,1441
tt13424422,1410
tt13438734,1737
tt13462900,1469
tt13470094,1037
tt13514232,1480
tt13529316,1310
tt13544716,1008
tt13557370,298
tt13582738,937
tt13593042,1301
tt13606158,1595
tt13701962,30
tt13769630,1595
tt13799986,770
tt13834480,407
tt13835046,1900
tt13884144,1669
tt13911494,169
tt13944728,512
tt13964002,1540
tt13967368,1561
tt14108464,336
tt14147078,169
tt14176094,439
tt14207358,486
tt14265992,65
tt14302272,1413
tt14307890,629
tt14315500,1058
tt14324650,178
tt14361314,1394
tt14379040,1857
tt14402926,178
tt14418138,1772
tt14445134,301
tt14464962,360
tt14525460,1363
tt14577300,526
tt14578032,586
tt14611368,781
tt14636620,516
tt14720502,558
tt14731142,1645
tt14858054,1872
tt14867006,1802
tt14873410,764
tt14901058,989
tt14923112,961
tt15000314,1850
tt15060248,1096
tt15062980,1096
tt15096796,981
tt15105098,486
tt15173948,874
tt15295912,954
tt15296598,582
tt15397504,270
tt15437042,349
tt15465312,1926
tt15779062,162
tt16492636,388
tt16492678,388
tt2382320,735
tt2458948,1201
tt3228774,346
tt3554046,1347
tt4513678,570
tt4813116,9
tt5034838,589
tt5433138,1539
tt6264654,530
tt6334354,1391
tt6566576,500
tt6802400,319
tt6932874,1485
tt6992978,1677
tt7069210,1502
tt7097896,1816
tt7524444,950
tt7601480,1912
tt7972012,1067
tt7988412,1163
tt7991608,1206
tt8042312,833
tt8110246,360
tt8245526,1077
tt8368408,613
tt8376234,1126
tt8385148,1569
tt8404256,549
tt8452666,9
tt8521876,1878
tt8716196,1756
tt8984572,771
tt9222546,1342
tt9347730,264
tt9376612,1286
tt9381682,406
tt9389998,1179
tt9595360,799
tt9685342,1924
tt9701940,500
tt9701942,500
tt9777666,1692
tt9819258,9
tt9844522,474
tt9857850,9
tt10405142,1276
tt11936544,1886
tt13021072,523
tt14807282,1021
tt14941348,1619
tt15392166,569
tt16578440,23
tt16756914,1936
tt4680594,1822
tt6467266,1317
tt6866062,9
